corpus,file,method,original_bytes,compressed_bytes,ratio,bits_per_byte,entropy_bits_per_byte,gap_to_h0_bits_per_byte,seconds,throughput_mib_s
silesia,dickens,zstd_19,10192446,2849941,0.2796130585337416,2.2369044682699326,4.532332261326248,-2.2954277930563154,6.586478400044143,1.4757922794512575
silesia,dickens,ppmd_6,10192446,2340099,0.22959150335454315,1.8367320268363452,4.532332261326248,-2.695600234489903,2.0300523000769317,4.788188940348608
silesia,mozilla,raw,51220480,51220480,1.0,8.0,6.222428869049127,1.7775711309508733,0.00015279999934136868,319683.61557953956
silesia,mozilla,rle,51220480,83686306,1.6338446262120152,13.070757009696122,6.222428869049127,6.848328140646995,9.029050000011921,5.4100549061014735
silesia,mozilla,zlib_9,51220480,19044396,0.37181213452119155,2.9744970761695324,6.222428869049127,-3.2479317928795943,7.459454900003038,6.5484216882898645
silesia,mozilla,bzip2_9,51220480,17914392,0.34975056852259095,2.7980045481807276,6.222428869049127,-3.424424320868399,3.400179999996908,14.366197157222388
silesia,mozilla,lzma_9,51220480,13374160,0.261109618652539,2.088876949220312,6.222428869049127,-4.133551919828815,22.604165100026876,2.1610024539212875
silesia,mozilla,brotli_11,51220480,14077215,0.2748356712002699,2.1986853696021593,6.222428869049127,-4.023743499446967,122.36836809990928,0.39918532058969425
silesia,mozilla,zstd_19,51220480,15094119,0.2946891360643243,2.3575130885145943,6.222428869049127,-3.8649157805345324,18.828653599950485,2.594325504513422
silesia,mozilla,ppmd_6,51220480,16432652,0.3208219056127549,2.5665752449020394,6.222428869049127,-3.6558536241470874,10.684936800040305,4.571637358661377
silesia,mr,raw,9970564,9970564,1.0,8.0,3.6842814884513517,4.315718511548648,0.000694400048814714,13693.361374492004
silesia,mr,rle,9970564,14309570,1.4351816005594067,11.481452804475254,3.6842814884513517,7.797171316023902,1.5576102999038994,6.104653267554424
silesia,mr,zlib_9,9970564,3660794,0.36716017268431356,2.9372813814745085,3.6842814884513517,-0.7470001069768433,1.3963325000368059,6.809746823649903
silesia,mr,bzip2_9,9970564,2441280,0.2448487367414722,1.9587898939317776,3.6842814884513517,-1.7254915945195741,0.4801342999562621,19.80418980220942
silesia,mr,lzma_9,9970564,2750272,0.2758391601518229,2.2067132812145833,3.6842814884513517,-1.4775682072367684,4.4189719000132754,2.151783496712482
silesia,mr,brotli_11,9970564,2825713,0.2834055325255422,2.2672442602043374,3.6842814884513517,-1.4170372282470143,20.090172600001097,0.4732996075346932
silesia,mr,zstd_19,9970564,3108370,0.3117546810792248,2.4940374486337986,3.6842814884513517,-1.1902440398175531,3.9898451000917703,2.383218036877185
silesia,mr,ppmd_6,9970564,2351732,0.23586749957173936,1.8869399965739149,3.6842814884513517,-1.7973414918774369,1.6304924000287428,5.8317786741705415
silesia,nci,raw,33553445,33553445,1.0,8.0,2.4292555992818246,5.5707444007181754,0.00016069994308054447,199123.02462615963
silesia,nci,rle,33553445,44737504,1.3333207365145368,10.666565892116294,2.4292555992818246,8.237310292834469,5.066627000109293,6.315653140197503
